TP4,141.22,63.64,0.00,TPTP20R,TP20R
TP5,136.44,63.74,0.00,TPTP20R,TP20R
TP6,130.86,63.44,0.00,TPTP20R,TP20R
TP7,165.38,7.04,0.00,TPTP20R,TP20R
TP8,9.30,7.54,0.00,TPTP20R,TP20R
TP9,4.22,7.54,0.00,TPTP20R,TP20R
U1,36.73,45.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,45.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.00,52.21,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,136.34,52.90,0.00,MAX17048G+T10,SON50P200X200X80-9N
